filename	size_bytes	sha256
042 - 042【90后不结婚】找到正确的婚姻“合伙人” [1179726102].m4a	19356201	3bfe5741bb90fe535088570fa0836e2d491ce0bc87d99dcb2dcba7358ffcf0c4
043 - 043【问题】女人是不是20岁以后不结婚就会贬值？ [1179726207].m4a	20282040	2843824c7b6a70ab6e768f92724e1eca27d3bd9a6f1598292a32378a32e9e00f
044 - 044【问题】我们都应该追求新时代的婚姻 [1179726355].m4a	14270702	2978f70211336b84008ea877a3430708f9ddf2c96734adb3e024a62b45339756
045 - 045【小结】我在35岁成年了 [1179726569].m4a	22711044	cc35d234b9464199ecf7e878e25b5d6c7d148874cb6416dd158d71778f7f6d64
046 - 046【小结】我要为自己而活 [1179726823].m4a	17539003	9dbd38d8aeda4ca89d4c700fe77d41d13932e469485e065136b50a9e5d44c6bf
047 - 047【90后不买房】房子只是一个普通商品罢了 [1179727058].m4a	15128928	16cc38dabc53f77e2895847a8cf688c18e35d8705a2c87808b09ef91b7d4f11c
048 - 048【预告】租房也可以很美好 [1179727217].m4a	17348212	44ea31c0079e23d12b7b259b6bcad96e7090ab6534f47b0c987598f59d94fa91
049 - 049【番外】投资分享会中与粉丝交流的部分 [1179727406].m4a	28707513	ed1a1d373929e02b89c4911da70e615ca4b0fecbee9e61ebcf6da9ae8711a763
050 - 050【案例】小王在燕郊的房子 [1179739824].m4a	20905577	5095c34d5548b6a4cb2e1ea65eec842862e8ef6452f54e86f94f6fa823ee2ed1
051 - 051【90后不买房】我们都是“房族” [1179739983].m4a	16880910	51e23c56fcd39ff567591b24d054b046d9a97997ade8aab1db7dbc2768df621e
052 - 052【90后不买房】房子户口是子女教育的门槛吗？ [1179740167].m4a	2432943	63f110479138d67700c0db80f2127b2277cbe86b07a87ea7903706686f61675e
053 - 053【90后不买房】让我们做一个游牧民族 [1179740334].m4a	13126999	ddfd9cb910af56cea9321b0038235166b73ea3de4fcd9c7284f762c123462e51
054 - 054【90后不买房】几个关于买房子的故事 [1179740511].m4a	2719300	5fc4930d22cd30b0ac78271747373306783e1409d83ced3e428cef71a4f1f96d
055 - 055【鸡年大吉】我们共同走过的2016与即将踏上的2017 [1179740680].m4a	10023105	5126b382b1ca36a83a673034262cc8b8a42c28677dea5b32b113f7e31a1ee06b
056 - 056【90后不买车】我为什么不买车 [1179740844].m4a	18320879	6a4a2a34298227b3c750d3092aca5595039367c537b63f119bd2eb8798c5a943
057 - 057【90后不买车】外卖这件小事 [1179741021].m4a	18576942	213a8db7d3f0aecec7c7d76475c7f8afcc28a82314fb9384f5e53e8e18fda98b
058 - 058【90后不买车】我才不想“逃离”北上广 [1179741183].m4a	22500815	9957cccdcdeb71c0978e12149072fe3f5afe0f3fdc9ddb7cf1f5a80417cc6795
060 - 060【小结】掌握自己的节奏 [1179741525].m4a	22594435	c041f4b939f4235642b3c0e381defca186e2a15bbd088d5a444df4cf15daefe4
061 - 061【案例】我不买车，也很快乐 [1179741678].m4a	2861903	a4346c950853f9e53ec746808589991ae894713dc793189744607a6d00240186
062 - 062【总结】十年为期，我们来做个实验 [1179741818].m4a	143537	c2bd4f1bfc9eaabf7742d71a4eaf1cfe9dfce4b57deff8ecb1cb52ec13d4b5ee
063 - 063【原始积累】复利定律 [1179742042].m4a	14921220	672402d67def68886530aa0c60b0c223b4e81f440572201873ed716b840ad2a0
064 - 064【原始积累】你只需要每项比平均强1% [1179742390].m4a	12353933	c8faf025176c6e501a144764873bdec38dbc7a6643104621dce0824beb56e911
104 - 104【比特币】买买提 [1182083775].m4a	1574589	66b53a5c39e5c34945d3f06985e1bcca9bff1d37eb2f6aab0a29f96a5e46acf1
