level,severity,audio_id,source,filename,duration_seconds,line_count,char_count,top_issue,text_path
medium,25,wavlake-mp3__008__1b95d206,wavlake-mp3,008 - 008 - 008 孙宇晨：创业、比特币、湖畔大学.mp3,1102.298,418,5441,连续重复,transcriptions/text/wavlake-mp3__008__1b95d206.txt
medium,25,wavlake-mp3__030__5f474667,wavlake-mp3,030 - 030 - 030 孙宇晨：创业与转型经验.mp3,888.419,162,4220,连续重复,transcriptions/text/wavlake-mp3__030__5f474667.txt
medium,25,wavlake-mp3__123__83fe2b60,wavlake-mp3,123 - 123 - 124 孙宇晨：【家人边界】与家人和解.mp3,702.055,71,3386,连续重复,transcriptions/text/wavlake-mp3__123__83fe2b60.txt
medium,25,wavlake-mp3__132__53ed6043,wavlake-mp3,132 - 132 - 133【财富流向】非线性通道.mp3,466.814,148,2096,连续重复,transcriptions/text/wavlake-mp3__132__53ed6043.txt
low,24,wavlake-mp3__106__e8b60e44,wavlake-mp3,106 - 106 - 107 孙宇晨：【医疗】财富自由与医疗.mp3,567.217,185,2746,行内循环,transcriptions/text/wavlake-mp3__106__e8b60e44.txt
low,23,wavlake-mp3__139__60c2d49e,wavlake-mp3,139 - 139 - 140 孙宇晨：【From It to Bit】碳基与硅基生命对比.mp3,714.757,302,3921,行内循环,transcriptions/text/wavlake-mp3__139__60c2d49e.txt
low,22,wavlake-mp3__066__b5b8e991,wavlake-mp3,066 - 066 - 066 孙宇晨：【番外】新文化趋势（演讲）.mp3,1691.55,513,7994,连续重复,transcriptions/text/wavlake-mp3__066__b5b8e991.txt
low,21,wavlake-mp3__020__08dd87ba,wavlake-mp3,020 - 020 - 020 孙宇晨：财富自由、互联网、道德变化.mp3,802.458,256,3833,近似重复,transcriptions/text/wavlake-mp3__020__08dd87ba.txt
low,20,wavlake-mp3__022__05b72a7e,wavlake-mp3,022 - 022 - 022 孙宇晨：穷人思维下的教育问题.mp3,837.892,37,4457,行内循环,transcriptions/text/wavlake-mp3__022__05b72a7e.txt
low,20,wavlake-mp3__110__44e2adc7,wavlake-mp3,110 - 110 - 111 孙宇晨：【医疗】AI医疗与就医误区.mp3,329.259,109,1499,行内循环,transcriptions/text/wavlake-mp3__110__44e2adc7.txt
low,19,official-vimeo-m4a-partial__048__131d2e58,official-vimeo-m4a-partial,048 - 048【预告】租房也可以很美好 [1179727217].m4a,727.019,86,3379,近似重复,transcriptions/text/official-vimeo-m4a-partial__048__131d2e58.txt
low,19,wavlake-mp3__073__e839750d,wavlake-mp3,073 - 073 - 073 孙宇晨：【个人奋斗合法性】个人奋斗本身就是为社会做贡献.mp3,667.481,65,3040,近似重复,transcriptions/text/wavlake-mp3__073__e839750d.txt
low,18,official-vimeo-m4a-partial__045__07f4f1d1,official-vimeo-m4a-partial,045 - 045【小结】我在35岁成年了 [1179726569].m4a,951.787,101,4170,连续重复,transcriptions/text/official-vimeo-m4a-partial__045__07f4f1d1.txt
low,18,official-vimeo-m4a-partial__029__bea15de4,official-vimeo-m4a-partial,029 - 029子女与父母的关系 [1179696163].m4a,782.443,305,3873,连续重复,transcriptions/text/official-vimeo-m4a-partial__029__bea15de4.txt
low,18,official-vimeo-m4a-partial__057__47c7ae7b,official-vimeo-m4a-partial,057 - 057【90后不买车】外卖这件小事 [1179741021].m4a,778.517,327,3678,连续重复,transcriptions/text/official-vimeo-m4a-partial__057__47c7ae7b.txt
low,18,wavlake-mp3__026__761d3894,wavlake-mp3,026 - 026 - 026 孙宇晨：金钱与自由.mp3,628.564,131,3301,连续重复,transcriptions/text/wavlake-mp3__026__761d3894.txt
low,18,wavlake-mp3__071__7aec9b0a,wavlake-mp3,071 - 071 - 071 孙宇晨：【小结】原始积累重在“积累”.mp3,660.05,105,2736,连续重复,transcriptions/text/wavlake-mp3__071__7aec9b0a.txt
low,18,official-vimeo-m4a-partial__031__d398abc0,official-vimeo-m4a-partial,031 - 031如何利用好你的100万 [1179724042].m4a,519.104,67,2301,连续重复,transcriptions/text/official-vimeo-m4a-partial__031__d398abc0.txt
low,17,wavlake-mp3__059__be99c1d2,wavlake-mp3,059 - 059 - 059 孙宇晨：【番外】如何赚到自己的100万？.mp3,2160.06,76,11864,近似重复,transcriptions/text/wavlake-mp3__059__be99c1d2.txt
low,17,official-vimeo-m4a-partial__035__32eb4cfc,official-vimeo-m4a-partial,035 - 035【番外】书评：冰与火之歌 [1179724815].m4a,2319.104,98,11052,近似重复,transcriptions/text/official-vimeo-m4a-partial__035__32eb4cfc.txt
low,17,wavlake-mp3__067__6fa7563b,wavlake-mp3,067 - 067 - 067【番外】谈社交创业，毛总谈电竞文化（采访）.mp3,1076.5,269,5597,近似重复,transcriptions/text/wavlake-mp3__067__6fa7563b.txt
low,17,wavlake-mp3__072__e0e92c38,wavlake-mp3,072 - 072 - 072 孙宇晨：【番外】我为什么要写这样一本书？.mp3,334.716,35,1565,近似重复,transcriptions/text/wavlake-mp3__072__e0e92c38.txt
low,16,official-vimeo-m4a-partial__021__eaa9b1ef,official-vimeo-m4a-partial,021 - 021课程大纲讲解续二 [1179693830].m4a,905.707,36,4978,行内循环,transcriptions/text/official-vimeo-m4a-partial__021__eaa9b1ef.txt
low,16,wavlake-mp3__117__0f43c944,wavlake-mp3,117 - 117 - 118 孙宇晨：【家人边界】合伙之前先散伙.mp3,500.39,27,2431,行内循环,transcriptions/text/wavlake-mp3__117__0f43c944.txt
low,15,official-vimeo-m4a-partial__008__4bb31bf0,official-vimeo-m4a-partial,008 - 008【花絮】人生中的那些关键节点 [1179689834].m4a,1102.251,408,5894,行内循环,transcriptions/text/official-vimeo-m4a-partial__008__4bb31bf0.txt
low,15,wavlake-mp3__060__06f1f55e,wavlake-mp3,060 - 060 - 060 孙宇晨：【小结】分享财富自由与投资心得.mp3,946.979,62,4853,近似重复,transcriptions/text/wavlake-mp3__060__06f1f55e.txt
low,15,wavlake-mp3__081__b0c91068,wavlake-mp3,081 - 081 - 081 孙宇晨：【番外】相信选择的力量.mp3,969.898,40,4555,近似重复,transcriptions/text/wavlake-mp3__081__b0c91068.txt
low,14,wavlake-mp3__102__9360cb03,wavlake-mp3,102 - 102 - 103 孙宇晨：【比特币】与传统货币、其他虚拟币的比较.mp3,548.084,28,2524,近似重复,transcriptions/text/wavlake-mp3__102__9360cb03.txt
low,13,official-vimeo-m4a-partial__013__79c7a7f3,official-vimeo-m4a-partial,013 - 013案例-一个卖掉自己的妹纸 [1179691533].m4a,1526.72,131,7801,近似重复,transcriptions/text/official-vimeo-m4a-partial__013__79c7a7f3.txt
low,13,wavlake-mp3__032__864c3e90,wavlake-mp3,032 - 032 - 032 孙宇晨：布林顿森林体系的建立与崩塌.mp3,874.255,127,4353,近似重复,transcriptions/text/wavlake-mp3__032__864c3e90.txt
low,13,wavlake-mp3__143__1554b253,wavlake-mp3,143 - 143 - 144 孙宇晨：【创业使命】谈90后创业机遇与挑战.mp3,628.587,100,3601,近似重复,transcriptions/text/wavlake-mp3__143__1554b253.txt
low,13,wavlake-mp3__034__17d10f64,wavlake-mp3,034 - 034 - 034 孙宇晨：扩大你的“可控”负债是好事.mp3,670.523,105,3020,近似重复,transcriptions/text/wavlake-mp3__034__17d10f64.txt
low,13,official-vimeo-m4a-partial__034__218fa17b,official-vimeo-m4a-partial,034 - 034扩大你的“可控”负债是好事 [1179724607].m4a,670.443,89,2988,近似重复,transcriptions/text/official-vimeo-m4a-partial__034__218fa17b.txt
low,13,wavlake-mp3__087__7d66d39e,wavlake-mp3,087 - 087 - 087 孙宇晨：【不确定性】年轻人的未来在哪里.mp3,655.012,57,2643,近似重复,transcriptions/text/wavlake-mp3__087__7d66d39e.txt
low,13,official-vimeo-m4a-partial__019__370e6ea3,official-vimeo-m4a-partial,019 - 019五分钟走向财富自由问答 [1179693406].m4a,47.915,2,102,近似重复,transcriptions/text/official-vimeo-m4a-partial__019__370e6ea3.txt
low,12,official-vimeo-m4a-partial__036__6c5b57fc,official-vimeo-m4a-partial,036 - 036【全球流动性过剩】通过加“杠杆”来增加财富 [1179724973].m4a,1212.309,153,5746,行内循环,transcriptions/text/official-vimeo-m4a-partial__036__6c5b57fc.txt
low,12,wavlake-mp3__080__63763504,wavlake-mp3,080 - 080 - 080 孙宇晨：【番外】毕业就创业OK吗？.mp3,946.585,75,4907,行内循环,transcriptions/text/wavlake-mp3__080__63763504.txt
low,12,wavlake-mp3__009__c72b9118,wavlake-mp3,009 - 009 - 009 孙宇晨：创业与财富自由.mp3,994.511,366,4757,连续重复,transcriptions/text/wavlake-mp3__009__c72b9118.txt
low,12,wavlake-mp3__029__34570f84,wavlake-mp3,029 - 029 - 029 孙宇晨：家庭关系与义务.mp3,782.466,96,3919,行内循环,transcriptions/text/wavlake-mp3__029__34570f84.txt
low,12,official-vimeo-m4a-partial__044__4d036ffb,official-vimeo-m4a-partial,044 - 044【问题】我们都应该追求新时代的婚姻 [1179726355].m4a,598.037,71,2626,连续重复,transcriptions/text/official-vimeo-m4a-partial__044__4d036ffb.txt
low,12,wavlake-mp3__069__70cef5d7,wavlake-mp3,069 - 069 - 069 孙宇晨：【原始积累】一万小时定律.mp3,686.266,242,2557,行内循环,transcriptions/text/wavlake-mp3__069__70cef5d7.txt
low,11,wavlake-mp3__136__e4306ed8,wavlake-mp3,136 - 136 - 137 孙宇晨：【财富流向】弯道超车.mp3,581.939,231,2214,行内循环,transcriptions/text/wavlake-mp3__136__e4306ed8.txt
low,10,wavlake-mp3__054__fe038a97,wavlake-mp3,054 - 054 - 054 孙宇晨：分享财富自由与租房生活.mp3,1132.46,290,5698,连续重复,transcriptions/text/wavlake-mp3__054__fe038a97.txt
low,10,official-vimeo-m4a-partial__056__26c9651d,official-vimeo-m4a-partial,056 - 056【90后不买车】我为什么不买车 [1179740844].m4a,767.787,216,3696,全文重复,transcriptions/text/official-vimeo-m4a-partial__056__26c9651d.txt
low,10,wavlake-mp3__131__7f6a9b2b,wavlake-mp3,131 - 131 - 132 孙宇晨：【财富流向】规则制定领域，分享财富自由与创业经验.mp3,612.008,160,2665,连续重复,transcriptions/text/wavlake-mp3__131__7f6a9b2b.txt
low,10,wavlake-mp3__083__09588e6c,wavlake-mp3,083 - 083 - 083 孙宇晨：【不确定性】互联网时代的MVP.mp3,505.522,114,2370,连续重复,transcriptions/text/wavlake-mp3__083__09588e6c.txt
low,10,official-vimeo-m4a-partial__055__f49ce1be,official-vimeo-m4a-partial,055 - 055【鸡年大吉】我们共同走过的2016与即将踏上的2017 [1179740680].m4a,420.011,145,1603,连续重复,transcriptions/text/official-vimeo-m4a-partial__055__f49ce1be.txt
low,9,wavlake-mp3__137__33989990,wavlake-mp3,137 - 137 - 138 孙宇晨：【财富流向】学习的力量，谈教育革新与创业.mp3,660.05,118,3213,行内循环,transcriptions/text/wavlake-mp3__137__33989990.txt
low,8,wavlake-mp3__033__3202b3ed,wavlake-mp3,033 - 033 - 033 孙宇晨：通缩与通胀的经济影响.mp3,948.001,33,4531,行内循环,transcriptions/text/wavlake-mp3__033__3202b3ed.txt
low,8,wavlake-mp3__089__d3afb1d1,wavlake-mp3,089 - 089 - 089 孙宇晨：【互联网】虚拟打压实体？.mp3,751.839,386,3309,行内循环,transcriptions/text/wavlake-mp3__089__d3afb1d1.txt
low,8,wavlake-mp3__099__d77ebee3,wavlake-mp3,099 - 099 - 099 孙宇晨：【荐书】巨人的倒下.mp3,786.646,366,3283,行内循环,transcriptions/text/wavlake-mp3__099__d77ebee3.txt
low,7,wavlake-mp3__085__59379fe0,wavlake-mp3,085 - 085 - 085 孙宇晨：【不确定性】稳定就是最大的不稳定.mp3,550.847,58,2172,近似重复,transcriptions/text/wavlake-mp3__085__59379fe0.txt
low,6,official-vimeo-m4a-partial__009__6e724caa,official-vimeo-m4a-partial,009 - 009【花絮】个人选择与成长问答 [1179690308].m4a,994.453,249,4898,连续重复,transcriptions/text/official-vimeo-m4a-partial__009__6e724caa.txt
low,6,wavlake-mp3__068__8931adfc,wavlake-mp3,068 - 068 - 068 孙宇晨：【番外】90后会将互联网革命进行到底.mp3,961.562,514,4479,连续重复,transcriptions/text/wavlake-mp3__068__8931adfc.txt
low,6,wavlake-mp3__121__d71a4128,wavlake-mp3,121 - 121 - 122 孙宇晨：【案例】让专业的人做专业的事.mp3,554.794,129,2836,连续重复,transcriptions/text/wavlake-mp3__121__d71a4128.txt
low,5,wavlake-mp3__025__ee3f2f4c,wavlake-mp3,025 - 025 - 025 孙宇晨：性与权力.mp3,808.356,34,3934,行内循环,transcriptions/text/wavlake-mp3__025__ee3f2f4c.txt
low,5,wavlake-mp3__086__bf2c2a6d,wavlake-mp3,086 - 086 - 086 孙宇晨：【不确定性】以人民的名义.mp3,726.297,290,2490,空行,transcriptions/text/wavlake-mp3__086__bf2c2a6d.txt
low,4,wavlake-mp3__027__9d74e009,wavlake-mp3,027 - 027 - 027 孙宇晨：川普为什么赢.mp3,1826.226,101,9726,行内循环,transcriptions/text/wavlake-mp3__027__9d74e009.txt
low,4,official-vimeo-m4a-partial__027__5309b3f0,official-vimeo-m4a-partial,027 - 027川普为什么赢 [1179695544].m4a,1826.176,393,9520,行内循环,transcriptions/text/official-vimeo-m4a-partial__027__5309b3f0.txt
low,4,official-vimeo-m4a-partial__060__4427c6c6,official-vimeo-m4a-partial,060 - 060【小结】掌握自己的节奏 [1179741525].m4a,946.901,59,4854,行内循环,transcriptions/text/official-vimeo-m4a-partial__060__4427c6c6.txt
low,4,official-vimeo-m4a-partial__058__f42e9ec2,official-vimeo-m4a-partial,058 - 058【90后不买车】我才不想“逃离”北上广 [1179741183].m4a,942.976,93,4585,行内循环,transcriptions/text/official-vimeo-m4a-partial__058__f42e9ec2.txt
low,4,wavlake-mp3__058__489fd374,wavlake-mp3,058 - 058 - 058 孙宇晨：【90后不买车】共享经济与财富自由.mp3,943.055,78,4567,行内循环,transcriptions/text/wavlake-mp3__058__489fd374.txt
low,4,official-vimeo-m4a-partial__038__116300b9,official-vimeo-m4a-partial,038 - 038【全球流动性过剩】什么是自由意志主义？ [1179725320].m4a,897.109,52,4406,行内循环,transcriptions/text/official-vimeo-m4a-partial__038__116300b9.txt
low,4,official-vimeo-m4a-partial__018__6b1ffa0f,official-vimeo-m4a-partial,018 - 018课程大纲讲解 [1179693184].m4a,709.013,24,3989,行内循环,transcriptions/text/official-vimeo-m4a-partial__018__6b1ffa0f.txt
low,4,official-vimeo-m4a-partial__050__f9ff0b61,official-vimeo-m4a-partial,050 - 050【案例】小王在燕郊的房子 [1179739824].m4a,876.117,84,3848,行内循环,transcriptions/text/official-vimeo-m4a-partial__050__f9ff0b61.txt
low,4,wavlake-mp3__018__aeb5367d,wavlake-mp3,018 - 018 - 018 孙宇晨：战略.mp3,709.045,25,3846,行内循环,transcriptions/text/wavlake-mp3__018__aeb5367d.txt
low,4,wavlake-mp3__046__72622932,wavlake-mp3,046 - 046 - 046 孙宇晨：我要为自己而活.mp3,735.051,52,3792,行内循环,transcriptions/text/wavlake-mp3__046__72622932.txt
low,4,wavlake-mp3__023__b938f558,wavlake-mp3,023 - 023 - 023 孙宇晨：成功与思维模式.mp3,723.557,40,3622,行内循环,transcriptions/text/wavlake-mp3__023__b938f558.txt
low,4,wavlake-mp3__051__d6f5e9d6,wavlake-mp3,051 - 051 - 051 孙宇晨：谈房产投资.mp3,707.466,244,3554,行内循环,transcriptions/text/wavlake-mp3__051__d6f5e9d6.txt
low,4,wavlake-mp3__130__b79097a0,wavlake-mp3,130 - 130 - 131 孙宇晨：【神秘嘉宾】财富十问，分享创业经验与财富观.mp3,789.478,371,3461,行内循环,transcriptions/text/wavlake-mp3__130__b79097a0.txt
